Energy_Consumption,Reference,Heating,Country,City,Zone,Energy_Class,Publish_date,Sale_Price,Floor,Street,Bedrooms,Elevator,Bathrooms,Year_Construction,Surface,Autonomous_Community,Contrat,Property_Type
,595938,,es,Bilbao,Basarrate - Bolueta,,2024-09-30 12:59:53,161000,2 (planta baja),Bonaparte Luis Luciano Kalea,3 dorm.,,1 baño,1956,62.00,País Vasco,venta,Media
,595183,,es,Almería,,,2024-09-23 14:04:40,49990,,C. Memorias,2 dorm.,,,1930,71.00,Andalucía,venta,Popular
,592202,centralizada,es,Almería,Almería - Centro Histórico,,2024-08-27 17:08:36,130000,,C. Eduardo VII,,Sí,2 baños,2003,102.00,Andalucía,venta,Popular
,572805,,es,Almería,Los Molinos - El Puche - Torrecardenas,,2024-10-22 11:04:51,29900,1 (planta baja),C. Escuela de los Molinos,,,,1920,55.00,Andalucía,venta,Popular
162 kW h/m&sup2; año,596706,,es,Almería,,e,2024-10-03 16:12:05,474900,Baja,Calle C.andalucia,,,2 baños,1991,336.00,Andalucía,venta,Señorial
,582550,,es,Almería,Los Molinos - El Puche - Torrecardenas,,2024-06-19 18:05:26,298000,,C. Costa Canaria,4 dorm.,,3 baños,1992,206.00,Andalucía,venta,Popular
,597237,,es,Almería,Los Molinos - El Puche - Torrecardenas,,2024-10-08 11:48:47,85000,,Carrera del Mami,,,1 baño,1961,71.00,Andalucía,venta,Popular
,595362,centralizada,es,Almería,Almería - Centro Histórico,,2024-10-07 18:10:10,49900,Baja,C. Hipócrates,,,1 baño,1930,55.00,Andalucía,venta,Popular
,591575,,es,Almería,Almería - Centro Histórico,,2024-08-27 12:01:00,59999,Baja,Calle Rosario,,,,1975,50.00,Andalucía,venta,Popular
,589220,centralizada,es,Almería,Almería - Centro Histórico,,2024-08-27 10:42:19,130000,Baja,C. Eduardo VII,,,2 baños,1987,86.00,Andalucía,venta,Popular
,594360,,es,Almería,Los Molinos - El Puche - Torrecardenas,,2024-09-13 12:35:13,154900,3,C. Lijar,3 dorm.,,1 baño,2001,115.00,Andalucía,venta,Media
"176,91 kWh/m&sup2; año",596052,,es,Almería,La Cañada,e,2024-09-27 19:34:05,139000,,C. Ave Fénix,4 dorm.,,2 baños,2001,141.00,Andalucía,venta,Popular
,591118,centralizada,es,Almería,Almería - Centro Histórico,,2024-08-27 11:56:04,49999,,Calle Reducto,,,1 baño,1936,54.00,Andalucía,venta,Popular
"168,6 kWh/m&sup2; año",519153,,es,Almería,,e,2024-02-01 13:05:15,185000,,C. Vera,6 dorm.,,2 baños,1967,194.00,Andalucía,venta,Media
,590288,centralizada,es,Almería,Almería - Centro Histórico,,2024-08-27 11:23:43,116000,,C. Eduardo VII,,,2 baños,1962,157.00,Andalucía,venta,Popular
,589016,,es,Almería,,,2024-08-14 11:34:35,79990,Baja,C. Cámaras,,,,1935,118.00,Andalucía,venta,Señorial
,588806,,es,Cádiz,Puerta Tierra,,2024-07-11 18:20:43,310000,Baja,C. Sancti Petri,5 dorm.,,,1969,118.00,Andalucía,venta,Media
,551406,,es,Cordoba,Sector Sur - Campo La Verdad,,2023-07-11 19:30:51,85000,,Monseñor Juan Manuel Font del riego,4 dorm.,,2 baños,1950,190.00,Andalucía,venta,Media
,563341,,es,Cordoba,Sector Sur - Campo La Verdad,,2024-10-02 10:20:05,88000,,C. Medea,2 dorm.,,1 baño,1950,66.00,Andalucía,venta,Media
,590043,,es,Cordoba,Sector Sur - Campo La Verdad,,2024-07-23 19:36:34,29900,Baja,C. Rey Don Pelayo,3 dorm.,,1 baño,1950,85.00,Andalucía,venta,Media
,595661,,es,Cordoba,Sector Sur - Campo La Verdad,,2024-09-27 12:14:49,69900,,Calle Leovigildo,2 dorm.,,1 baño,2011,57.00,Andalucía,venta,Media
,597875,,es,Cordoba,Sector Sur - Campo La Verdad,,2024-10-17 18:54:45,69900,Baja,Alfonso Onceno,2 dorm.,,1 baño,2017,85.00,Andalucía,venta,Media
,598181,,es,Cordoba,Santa Rosa,,2024-10-16 13:18:45,49900,Baja,C. el Encinar,,,,1982,129.00,Andalucía,venta,Popular
,594684,,es,Cordoba,Sector Sur - Campo La Verdad,,2024-09-17 12:41:58,240000,,C. Horno,3 dorm.,,3 baños,2000,118.00,Andalucía,venta,Popular
,595001,,es,Cordoba,Sector Sur - Campo La Verdad,,2024-09-18 20:13:59,109000,,C. Secunda Romana,3 dorm.,,2 baños,2004,86.00,Andalucía,venta,Media
,574359,,es,Cordoba,Sector Sur - Campo La Verdad,,2024-10-01 17:55:15,59800,Baja,Calle Yosuf,3 dorm.,,1 baño,1953,60.00,Andalucía,venta,Media
,570949,,es,Cordoba,Sector Sur - Campo La Verdad,,2024-10-01 17:55:18,145000,,C. Rey Don Pelayo,2 dorm.,,2 baños,1949,144.00,Andalucía,venta,Popular
,594295,,es,Cordoba,Sector Sur - Campo La Verdad,,2024-09-13 12:42:30,290000,,C/ Aguilares,3 dorm.,,3 baños,2009,84.00,Andalucía,venta,Señorial
,593345,,es,Cordoba,Sector Sur - Campo La Verdad,,2024-09-05 12:09:06,97500,,Calle la Rábida,2 dorm.,,1 baño,1960,97.00,Andalucía,venta,Media
,590044,,es,Cordoba,Sector Sur - Campo La Verdad,,2024-07-23 19:39:27,35000,Baja,C. Rey Don Pelayo,3 dorm.,,,1950,85.00,Andalucía,venta,Media
,583415,,es,Cordoba,Sector Sur - Campo La Verdad,,2024-05-21 17:51:12,168000,,C. Cdad. de Carmona,5 dorm.,,2 baños,1991,189.00,Andalucía,venta,Media
,590244,,es,Cordoba,Sector Sur - Campo La Verdad,,2024-07-23 13:07:11,79990,,C. Pompeya Paulina,3 dorm.,,1 baño,1900,65.00,Andalucía,venta,Media
"311,2 kW h/m&sup2; año",594278,,es,Granada,Chana - Cerillo - Maracena,f,2024-10-31 19:49:10,114900,,C. Pozo,3 dorm.,,1 baño,1970,114.00,Andalucía,venta,Popular
,598642,,es,Granada,Chana - Villarejo - Barriada De La Cruz,,2024-10-31 16:54:18,499000,3,C. Jesús Fandila,,,,1975,210.00,Andalucía,venta,Popular
"311,8 kW h/m&sup2; año",533122,,es,Granada,Albayzín,f,2023-06-28 20:05:04,399900,,Callejon Almona Albayzin,4 dorm.,,2 baños,1900,234.00,Andalucía,venta,Popular
"375,28 kWh/m&sup2; año",592706,Independiente,es,Granada,Albayzín,g,2024-09-02 20:28:07,402000,,Cta. Aljibe de Trillo,3 dorm.,,3 baños,1910,108.00,Andalucía,venta,Popular
,589327,,es,Granada,Beiro - Plaza De Toros - Triunfo,,2024-07-31 11:49:09,249900,1,Calle Cristo De La  Yedra 15,3 dorm.,,1 baño,1970,80.00,Andalucía,venta,Popular
"205,13 kWh/m&sup2; año",337288,,es,Granada,Genil,e,2024-08-27 12:15:06,249000,,C. Javier Tortosa,4 dorm.,,3 baños,1997,126.00,Andalucía,venta,Popular
,596454,centralizada (Radiadores),es,Granada,Zaidín,,2024-10-07 19:50:53,447900,,Torre De Alquiza,,,1 baño,1994,195.00,Andalucía,venta,Popular
"217,18 kW h/m&sup2; año",589322,,es,Granada,Albayzín,e,2024-07-23 12:04:55,79900,,C. Acequia de Aynadamar,2 dorm.,,1 baño,1950,76.00,Andalucía,venta,Media
,583606,centralizada (Gas),es,Granada,Zaidín,,2024-05-29 13:02:31,470000,3 (planta media),C. Torre de las Rocas,4 dorm.,,,2006,203.00,Andalucía,venta,Señorial
"261,47 kWh/m&sup2; año",591523,centralizada (Radiadores),es,Granada,Albayzín,e,2024-10-09 18:11:45,299900,,C. Luis Heredia Maya,3 dorm.,,3 baños,2002,173.00,Andalucía,venta,De época
"798,51 kWh/m&sup2; año",541529,,es,Granada,Beiro - Plaza De Toros - Triunfo,g,2024-01-01 18:44:01,180000,3 (planta media),C. Portería de Sta. Paula,5 dorm.,,1 baño,1910,178.00,Andalucía,venta,Popular
"255,12 kWh/m&sup2; año",595961,,es,Jaén,,f,2024-10-07 19:17:12,77500,,Calle Sta. Cruz,2 dorm.,,2 baños,2000,90.00,Andalucía,venta,Señorial
,555412,,es,Jaén,Jaén,,2024-10-28 14:12:36,23500,,C. Bobadilla Baja,,,2 baños,1960,109.00,Andalucía,venta,Media
,593413,,es,Jaén,Jaén,,2024-09-06 11:53:20,119000,,Carretera de Arbuniel,5 dorm.,,2 baños,1994,10000.00,Andalucía,venta,Media
"278,42 kW h/m&sup2; año",586796,,es,Jaén,,e,2024-06-26 11:14:21,37000,,C. Castillo de Jaén,3 dorm.,,,1900,94.00,Andalucía,venta,Media
,579105,,es,Jaén,,,2024-04-23 11:28:07,18500,,C. Vacas,,,1 baño,1965,136.00,Andalucía,venta,Media
"357,7 kW h/m&sup2; año",582481,,es,Jaén,,f,2024-05-13 13:12:29,47000,,C. Llana de San Juan,3 dorm.,,1 baño,1940,143.00,Andalucía,venta,De época
"279,40 kW h/m&sup2; año",585416,,es,Jaén,,e,2024-06-28 17:23:32,45500,,C. Elvin,4 dorm.,,2 baños,1940,222.00,Andalucía,venta,De época
"437,29 kW h/m&sup2; año",589632,,es,Jaén,Jaén,f,2024-07-18 10:49:46,47500,,C. Hornos Mírez,3 dorm.,,1 baño,1955,116.00,Andalucía,venta,Popular
"352,4 kW h/m&sup2; año",593484,Independiente (Gas),es,Jaén,,f,2024-09-06 11:50:34,85500,,C. Bobadilla Alta,3 dorm.,,2 baños,2007,62.00,Andalucía,venta,Popular
"109,03 kWh/m&sup2; año",567909,,es,Jaén,,c,2023-12-20 11:58:48,112000,,Calle Compañía,4 dorm.,,2 baños,1950,278.00,Andalucía,venta,Media
,581302,,es,Jaén,,,2024-05-13 18:38:21,44900,,Calle Santiago,2 dorm.,,1 baño,1940,50.00,Andalucía,venta,Media
"301,91 kW h/m&sup2; año",365749,,es,Jaén,,e,2022-11-28 11:00:15,93000,,Callejón los Mártires,3 dorm.,,1 baño,1950,167.00,Andalucía,venta,Media
,585126,,es,Jaén,,,2024-06-07 10:42:21,47900,,C. Positillo,3 dorm.,,1 baño,1940,163.00,Andalucía,venta,De época
,588665,,es,Jaén,,,2024-09-05 19:25:24,87200,,Calle arrastradero,,,2 baños,1950,163.00,Andalucía,venta,Media
,573321,,es,Jaén,Jaén,,2024-02-15 13:03:30,77500,,C. la Corona,2 dorm.,,3 baños,1964,69.00,Andalucía,venta,Media
"93,99 kWh/m&sup2; año",591827,,es,Málaga,Marmoles - Bailen - Trinidad,d,2024-08-30 19:32:17,365000,,C. Eduardo Bayo,4 dorm.,,2 baños,1944,173.00,Andalucía,venta,Media
"110,5 kW h/m&sup2; año",599456,,es,Málaga,Pedregalejo,e,2024-10-29 11:49:02,310000,,Calle bolivia,2 dorm.,,1 baño,1936,65.00,Andalucía,venta,De época
"105,3 kW h/m&sup2; año",589280,,es,Málaga,Jardín Botánico - Sagrada Família,d,2024-07-16 19:09:24,120000,,Calle Dr. Carrión Pérez,2 dorm.,,2 baños,1968,96.00,Andalucía,venta,Media
"93,8 kWh/m&sup2; año",598327,Independiente,es,Málaga,Puerto De La Torre,d,2024-10-18 19:28:36,350000,2 (planta media),C. Balzac,3 dorm.,,2 baños,1990,172.00,Andalucía,venta,Popular
"93,99 kWh/m&sup2; año",572249,,es,Málaga,Eugenio Gross - Echevarria,d,2024-02-02 20:08:24,349000,,C. Eloy Sebastián Fraile,4 dorm.,,2 baños,1944,185.00,Andalucía,venta,Media
"55,3 kW h/m&sup2; año",597752,,es,Málaga,Puerto De La Torre,c,2024-10-18 14:01:15,360000,,C. Gavilán,3 dorm.,,2 baños,1998,275.00,Andalucía,venta,Popular
"93,99 kW h/m&sup2; año",588362,,es,Málaga,Eugenio Gross - Echevarria,d,2024-07-05 10:50:55,262000,,C. Manuel Aparicio,3 dorm.,,1 baño,1954,78.00,Andalucía,venta,Media
"128,5 kWh/m&sup2; año",589416,,es,Málaga,Ortega Y Gasset,e,2024-10-25 11:10:34,378000,Baja,C. Irlanda,3 dorm.,,3 baños,2005,102.00,Andalucía,venta,Media
"74,7 kWh/m&sup2; año",593102,,es,Málaga,Ortega Y Gasset,d,2024-10-25 11:10:02,369000,,C. Río Távora,4 dorm.,,3 baños,1997,214.00,Andalucía,venta,Popular
"81,12 kWh/m&sup2; año",592218,Independiente,es,Málaga,Puerto De La Torre,e,2024-09-03 11:35:03,250000,,Fortunata y Jacinta,3 dorm.,,1 baño,2007,119.00,Andalucía,venta,Media
"100,1 kWh/m&sup2; año",594783,,es,Málaga,Ciudad Jardin Norte,e,2024-10-11 09:09:31,289900,Baja,C. Santillana,4 dorm.,,3 baños,1986,270.00,Andalucía,venta,Media
,595127,,es,Málaga,Carlos De Haya,,2024-09-19 19:50:52,380000,,Calle Tambre,3 dorm.,,2 baños,1991,146.00,Andalucía,venta,Media
"188,66 kWh/m&sup2; año",590046,,es,Málaga,El Palo,f,2024-08-05 19:39:07,350000,,Av. Salvador Allende,4 dorm.,,2 baños,1936,84.00,Andalucía,venta,Media
"49,1 kW h/m&sup2; año",593330,,es,Málaga,Ortega Y Gasset,c,2024-09-10 17:47:33,550000,Baja,C. Irlanda,3 dorm.,,2 baños,2007,130.00,Andalucía,venta,Popular
171 kWh/m&sup2; año,533924,,es,Sevilla,Cerro Del Aguila,e,2024-10-02 17:55:51,179990,Planta baja,Calle alvarez benavides,2 dorm.,,1 baño,1952,140.00,Andalucía,venta,Media
,597337,,es,Sevilla,Torreblanca,,2024-10-10 17:32:36,126500,Baja,Calle Torrepalma,,,2 baños,1984,173.00,Andalucía,venta,Media
"259,49 kWh/m&sup2; año",593270,,es,Sevilla,Cerro Del Aguila,g,2024-09-03 13:13:42,289990,2 (planta planta baja),C. Diamantino García Acosta,2 dorm.,,1 baño,1994,244.00,Andalucía,venta,Señorial
,581171,,es,Sevilla,Palmete - La Negrilla,,2024-10-08 13:47:19,120000,,Calle Puebla de Cazalla,3 dorm.,,2 baños,1980,158.00,Andalucía,venta,Popular
,595348,,es,Sevilla,Palmete - La Negrilla,,2024-10-08 13:46:36,117260,,Calle Serenidad,3 dorm.,,2 baños,1984,135.00,Andalucía,venta,Media
,599608,Independiente,es,Sevilla,Palmete - La Negrilla,,2024-10-30 10:46:57,110000,,Calle Generosidad,,,2 baños,1981,139.00,Andalucía,venta,Popular
,599292,,es,Sevilla,Oliva - Tiro De Linea,,2024-10-29 20:07:38,200000,,Calle Écija,,,1 baño,1945,78.00,Andalucía,venta,Popular
,598539,,es,Sevilla,Torreblanca,,2024-10-22 19:16:00,59900,Baja,Calle Torrejoncillo,,,1 baño,1971,89.00,Andalucía,venta,De época
,593912,,es,Sevilla,Torreblanca,,2024-09-11 18:04:29,157000,Baja,Calle Torrenueva,,,2 baños,1975,294.00,Andalucía,venta,Media
"180,75 kW h/m&sup2; año",597213,,es,Sevilla,Macarena - León XIII - Pio XII,e,2024-10-17 17:41:16,399999,,Calle Almensilla,5 dorm.,,2 baños,1959,145.00,Andalucía,venta,Popular
,594172,,es,Sevilla,Torreblanca,,2024-09-11 17:36:41,129000,2,Calle Torresandino,,,2 baños,1970,225.00,Andalucía,venta,Señorial
"245,13 kW h/m&sup2; año",579034,,es,Sevilla,Su Eminencia ,f,2024-04-16 17:35:16,49900,,Calle  Virgen de la Saletta,2 dorm.,,1 baño,1955,57.00,Andalucía,venta,Señorial
,598309,,es,Sevilla,Pino Montano - Los Oficios Y Mares,,2024-10-17 13:23:21,255000,,Calle Linaria,4 dorm.,,2 baños,2010,200.00,Andalucía,venta,Popular
"197,87 kW h/m&sup2; año",549014,,es,Sevilla,Cerro Del Aguila,e,2023-06-07 18:09:46,325000,2,Calle Párroco Antonio Gómez Villalobos,5 dorm.,,3 baños,1970,232.00,Andalucía,venta,Popular
,593723,,es,Sevilla,Bellavista - Jardines De Hercules,,2024-10-23 10:54:42,109900,,C. Borja,3 dorm.,,1 baño,1950,76.00,Andalucía,venta,Media
,577080,Independiente (Gas),es,Zaragoza,Las Fuentes,,2024-03-20 20:33:08,290000,,C. de José Ramírez,5 dorm.,,3 baños,1995,250.00,Aragón,venta,Señorial
,591933,Independiente,es,Zaragoza,Casetas,,2024-09-19 19:25:28,257000,,Cl. Mayor,3 dorm.,,2 baños,1990,178.00,Aragón,venta,Media
"212,5 kW h/m&sup2; año",592229,Independiente (Radiadores),es,Zaragoza,Picarral,e,2024-09-16 19:01:08,366000,,Calle Monte Perdido,,,2 baños,1993,320.00,Aragón,venta,Popular
,507776,,es,Zaragoza,San Jose,,2024-04-10 19:14:13,210000,,Av. de San José,4 dorm.,,1 baño,1950,124.00,Aragón,venta,Popular
"131,8 kW h/m&sup2; año",575371,Independiente (A Gasoil),es,Zaragoza,Miralbueno,c,2024-03-06 17:03:52,390000,Baja,Camino del Pilón,4 dorm.,,3 baños,1998,248.00,Aragón,venta,Media
102 kWh/m&sup2; año,596969,,es,Santa Cruz De Tenerife,La Cuesta,g,2024-10-14 14:08:31,170000,,Calle el Tanque,3 dorm.,,2 baños,1962,100.00,Canarias,venta,Popular
150 kWh/m&sup2; año,597361,Independiente (Solar),es,Santa Cruz De Tenerife,Santa Cruz De Tenerife,g,2024-10-16 11:11:30,110000,,Pasaje Draguillo,3 dorm.,,1 baño,1989,160.00,Canarias,venta,Popular
"74,50 kWh/m&sup2; año",595792,,es,Santa Cruz De Tenerife,Santa Cruz De Tenerife,e,2024-10-11 20:20:12,670000,,Pje. de Gaspar Fernández,7 dorm.,,4 baños,1999,380.00,Canarias,venta,Señorial
159 kWh/m&sup2; año,597209,,es,Santa Cruz De Tenerife,Santa Cruz De Tenerife,g,2024-10-16 11:54:16,160000,,C. Tangara,9 dorm.,,3 baños,1968,297.00,Canarias,venta,Media
,595737,,es,Santa Cruz De Tenerife,Santa Cruz De Tenerife,,2024-10-23 21:57:49,72000,2,C. Antonio Saro,,,,1980,90.00,Canarias,venta,Popular
98 kW h/m&sup2; año,590005,,es,Santa Cruz De Tenerife,Cruz Del Señor,g,2024-10-24 14:13:13,129900,,Calle Isla de La Gomera,3 dorm.,,1 baño,1961,112.00,Canarias,venta,Señorial
132 kW h/m&sup2; año,594483,,es,Santa Cruz De Tenerife,La Salle,g,2024-10-11 20:49:38,239200,,C. Castellon de la Plana,,,1 baño,1939,90.00,Canarias,venta,Media
81 kW h/m&sup2; año,599605,Independiente (Geotérmica),es,Valladolid,La Victoria ,c,2024-10-31 17:44:02,159900,Baja,Don Juan Bravo,4 dorm.,,2 baños,2009,140.00,Castilla Y León,venta,Popular
"362,00 kW h/m&sup2; año",597383,Independiente (Gas),es,Valladolid,Santa Clara ,e,2024-10-29 18:17:02,114900,,C. Valoria,3 dorm.,,1 baño,1958,91.00,Castilla Y León,venta,Popular
,596363,,es,Valladolid,La Victoria ,,2024-09-30 20:50:02,95000,Baja,Subida Fuente el Sol,3 dorm.,,,1940,145.00,Castilla Y León,venta,Popular
412 kW h/m&sup2; año,597944,,es,Valladolid,Pajarillos ,f,2024-10-21 20:46:35,69900,Baja,Rincon Del Esgueva,3 dorm.,,1 baño,1936,60.00,Castilla Y León,venta,Media
"498,2 kWh/m&sup2; año",575545,,es,Valladolid,Barrio España ,g,2024-03-15 13:27:02,154900,Baja,C. Alcarria,4 dorm.,,2 baños,1960,150.00,Castilla Y León,venta,Popular
,594542,,es,Valladolid,Barrio España ,,2024-09-23 12:43:25,63900,Baja,C. Alcarria,,,1 baño,1940,96.00,Castilla Y León,venta,Popular
176 kWh/m&sup2; año,590165,Independiente (Eléctrica),es,Valladolid,Parquesol,d,2024-09-20 17:25:26,299900,,Calle Mariano de los Cobos,4 dorm.,,3 baños,1988,243.00,Castilla Y León,venta,Señorial
155 kWh/m&sup2; año,585048,Independiente (Gas),es,Valladolid,Parquesol,d,2024-06-08 13:06:06,285000,,Calle Compositor Facundo Viña,4 dorm.,,3 baños,2001,174.00,Castilla Y León,venta,Media
"233,95 kWh/m&sup2; año",579879,"Independiente (Chimenea, A Gasoil)",es,Valladolid,La Rubia,g,2024-05-03 19:04:01,299900,71 (planta planta baja),Avenida Cedro,5 dorm.,,3 baños,1980,284.00,Castilla Y León,venta,Media
250 kWh/m&sup2; año,593138,Independiente,es,Valladolid,La Rubia,e,2024-08-29 19:10:53,179000,,Calle Hoyo de la arena,4 dorm.,,2 baños,1995,241.00,Castilla Y León,venta,Popular
351 kWh/m&sup2; año,558966,Independiente (Gas),es,Valladolid,Parquesol,e,2023-09-22 15:28:31,399900,,C. Compositor Facundo Viña,5 dorm.,,3 baños,2006,276.00,Castilla Y León,venta,Señorial
98 kWh/m&sup2; año,585985,Independiente (Gas),es,Valladolid,Parquesol,c,2024-07-01 19:28:08,399900,,Calle de Miriam Blasco,4 dorm.,,3 baños,1998,234.00,Castilla Y León,venta,Señorial
,552256,,es,Valladolid,4 Marzo - La Farola,,2024-02-22 11:51:58,75000,Planta baja,Calle del Sol,3 dorm.,,1 baño,1952,71.00,Castilla Y León,venta,Popular
,518282,,es,Valladolid,4 Marzo - La Farola,,2023-01-24 12:46:22,84900,,Calle del Sol,,,,1928,114.00,Castilla Y León,venta,Popular
"228,5 kWh/m&sup2; año",598563,Independiente (A Gasoil),es,Toledo,Avenida De Europa - San Antón - Plaza De Toros,e,2024-10-31 11:32:08,245990,,C. Perala,4 dorm.,,2 baños,1965,100.00,Castilla-La Mancha,venta,Media
"335,1 kW h/m&sup2; año",595928,Independiente,es,Toledo,Casco Histórico,f,2024-10-04 19:39:54,229990,,Cta. San Justo,7 dorm.,,2 baños,1880,214.00,Castilla-La Mancha,venta,De época
"190,2 kW h/m&sup2; año",596993,Independiente (Gas),es,Toledo,Buenavista - Av. Irlanda,e,2024-10-11 19:18:21,319999,,C. Rodrigo de la Fuente,3 dorm.,,,2005,190.00,Castilla-La Mancha,venta,Popular
"179,7 kWh/m&sup2; año",563769,,es,Toledo,Casco Histórico,e,2023-11-30 16:57:52,120000,,Bajada Barco,3 dorm.,,2 baños,1900,108.00,Castilla-La Mancha,venta,Media
"303,3 kW h/m&sup2; año",589603,,es,Toledo,Casco Histórico,e,2024-08-10 10:26:10,85000,,C. de la Retama,1 dorm.,,1 baño,1900,52.00,Castilla-La Mancha,venta,De época
"405,90 kW h/m&sup2; año",596462,Independiente (Eléctrica),es,Toledo,Casco Histórico,g,2024-10-15 16:39:46,159990,,C. Cristo de la Calavera,2 dorm.,,2 baños,1880,133.00,Castilla-La Mancha,venta,De época
"335,1 kW h/m&sup2; año",595210,Independiente (A Gasoil),es,Toledo,Casco Histórico,f,2024-09-24 20:37:56,210000,,C. San Cipriano,3 dorm.,,1 baño,1900,226.00,Castilla-La Mancha,venta,Media
"145,45 kW h/m&sup2; año",578943,,es,Toledo,Casco Histórico,e,2024-07-25 17:33:03,74900,,Callejón Recogidas,6 dorm.,,3 baños,1880,283.00,Castilla-La Mancha,venta,Media
110 kW h/m&sup2; año,577549,,es,Toledo,Santa Barbara,f,2024-04-10 13:04:13,109990,,C. Cuestas,,,,1930,347.00,Castilla-La Mancha,venta,De época
"178,8 kW h/m&sup2; año",571056,,es,Toledo,Casco Histórico,e,2024-07-09 09:53:32,104990,,Calle de la Sal,3 dorm.,,1 baño,1970,105.00,Castilla-La Mancha,venta,Popular
"149,5 kW h/m&sup2; año",575927,,es,Toledo,Casco Histórico,e,2024-03-12 11:27:10,139990,,C. Cristo de la Calavera,12 dorm.,,1 baño,1900,324.00,Castilla-La Mancha,venta,Media
126 kWh/m&sup2; año,531941,,es,Barcelona,Zona Franca,d,2022-12-27 12:48:47,305000,,Carrer L'Aviador Ruiz de Alda,4 dorm.,,3 baños,1912,215.00,Cataluña,venta,De época
168 kWh/m&sup2; año,591377,,es,Barcelona,El Guinardó,e,2024-08-05 13:36:04,599000,Baja,Carrer de Llobet I Vall-llosera,5 dorm.,,2 baños,1957,224.00,Cataluña,venta,Popular
220 kW h/m&sup2; año,595106,,es,Barcelona,Verdun,e,2024-09-18 20:29:11,575000,,Carrer de Viladrosa,6 dorm.,,4 baños,1994,526.00,Cataluña,venta,Popular
200 kW h/m&sup2; año,588513,centralizada (Radiadores),es,Barcelona,Porta,e,2024-07-06 12:53:17,480000,,Carrer de Santanyí,7 dorm.,,2 baños,1954,206.00,Cataluña,venta,Señorial
,588111,,es,Barcelona,Horta,,2024-07-11 13:22:28,650000,Baja,Carrer dels Consorts Sans Bernet,,,,2024,107.00,Cataluña,venta,Popular
450 kW h/m&sup2; año,582546,,es,Barcelona,Plaça Maragall,g,2024-05-13 17:54:22,280000,1 (planta baja),Passatge Compañyia,4 dorm.,,1 baño,1930,150.00,Cataluña,venta,Media
264 kW h/m&sup2; año,587754,centralizada,es,Tarragona,,g,2024-07-10 13:22:14,255000,,Camí de Terres Cavades,4 dorm.,,2 baños,1985,250.00,Cataluña,venta,Media
189 kWh/m&sup2; año,591752,Independiente (Gas),es,Madrid,Alameda De Osuna,e,2024-08-19 12:14:56,1350000,,P.º de la Alameda de Osuna,4 dorm.,,2 baños,1980,822.00,Comunidad De Madrid,venta,Señorial
272 kWh/m&sup2; año,535085,"centralizada (Chimenea, Gas)",es,Madrid,Montecarmelo,e,2023-01-30 10:51:04,810000,Media,C. Arbucias,3 dorm.,,4 baños,2003,236.00,Comunidad De Madrid,venta,Popular
,596097,,es,Madrid,Barajas,,2024-10-16 09:39:23,180000,,Calle de las Poderosas,2 dorm.,,1 baño,1900,79.00,Comunidad De Madrid,venta,Señorial
,599084,,es,Madrid,Carabanchel Alto,,2024-10-25 11:00:04,450000,,C. Piqueñas,3 dorm.,,2 baños,1934,260.00,Comunidad De Madrid,venta,Popular
"282,3 kWh/m&sup2; año",573269,Independiente (Gas),es,Madrid,Salvador - Arturo Soria,e,2024-07-10 11:00:00,1300000,,C. de Teseo,4 dorm.,,5 baños,1977,339.00,Comunidad De Madrid,venta,Señorial
50 kW h/m&sup2; año,593286,,es,Madrid,Villaverde Alto,d,2024-09-27 10:55:10,390000,Baja,Plaza parvillas,4 dorm.,,2 baños,1956,144.00,Comunidad De Madrid,venta,Media
306 kWh/m&sup2; año,598256,Independiente,es,Madrid,,e,2024-10-16 20:07:06,429000,,C. de Gomeznarro,,,1 baño,2003,90.00,Comunidad De Madrid,venta,Popular
,596758,Independiente (Gas),es,Madrid,Madrid,,2024-10-09 12:56:41,719000,Media,Calle Ribera del Manzanares,3 dorm.,,1 baño,1940,103.00,Comunidad De Madrid,venta,Media
598 kWh/m&sup2; año,584104,,es,Madrid,Ciudad Pegaso,d,2024-05-30 09:39:21,500000,,C. Nueve,4 dorm.,,1 baño,1959,156.00,Comunidad De Madrid,venta,Media
50 kW h/m&sup2; año,585403,,es,Madrid,Villaverde Alto,d,2024-09-24 18:15:44,159000,,C. Alberto Palacios,,,1 baño,1930,62.00,Comunidad De Madrid,venta,Popular
,590065,,es,Madrid,Aravaca,,2024-07-31 12:58:33,900000,Baja,C. Fernando Oriol,4 dorm.,,4 baños,1978,265.00,Comunidad De Madrid,venta,Popular
"328,3 kWh/m&sup2; año",594065,Independiente (Gas),es,Madrid,,f,2024-09-11 19:55:12,1890000,,C. del Santo Ángel,7 dorm.,,,2003,454.00,Comunidad De Madrid,venta,Media
,590404,,es,Madrid,San Blas - Canillejas,,2024-07-30 23:59:55,730000,,Calle Versalles,3 dorm.,,3 baños,2002,192.00,Comunidad De Madrid,venta,Popular
344 kWh/m&sup2; año,579293,,es,Madrid,San Diego,g,2024-04-11 17:31:45,117000,Baja,C. Carlos Aurioles,2 dorm.,,,1978,30.00,Comunidad De Madrid,venta,Popular
,576560,,es,Madrid,,,2024-07-02 17:48:27,490000,Baja,C. Castromonte,3 dorm.,,2 baños,1958,80.00,Comunidad De Madrid,venta,Popular
,587412,,es,Alicante,San Blas,,2024-06-27 18:19:27,290000,,C. Magistral Segura,3 dorm.,,2 baños,1950,228.00,Comunidad Valenciana,venta,Señorial
