Energy_Consumption,Reference,Heating,Country,City,Zone,Energy_Class,Publish_date,Sale_Price,Floor,Street,Bedrooms,Elevator,Bathrooms,Year_Construction,Surface,Autonomous_Community,Contrat,Property_Type
,590749,,es,Sevilla,El Plantinar - Tiro De Linea,,2024-07-29 17:24:50,165000,2 (planta media),Calle naranco,3 dorm.,,1 baño,1963,76.00,Andalucía,venta,Media
"189,29 kW h/m&sup2; año",592108,,es,Sevilla,El Plantinar - Tiro De Linea,f,2024-08-20 14:43:55,217260,,Pl. del Aljarafe,3 dorm.,,1 baño,1963,90.00,Andalucía,venta,Señorial
"249,35 kW h/m&sup2; año",592998,,es,Sevilla,El Plantinar - Tiro De Linea,g,2024-08-28 17:25:47,142000,3,Av. de la Paz,2 dorm.,,1 baño,1970,67.00,Andalucía,venta,Media
,589036,,es,Sevilla,El Plantinar - Tiro De Linea,,2024-07-17 18:58:19,166000,1,Av. de la Paz,2 dorm.,,1 baño,1970,79.00,Andalucía,venta,Media
,599720,,es,Sevilla,Torreblanca,,2024-10-31 10:53:44,62000,Baja,Calle Torres Naharro,,,,1969,47.00,Andalucía,venta,Media
"165,30 kW h/m&sup2; año",598093,,es,Sevilla,Bami - Heliopolis - Bermejales - Bellavista,e,2024-10-24 09:29:42,395000,,Av. de Grecia,4 dorm.,Sí,2 baños,1999,100.00,Andalucía,venta,Popular
"39,78 kW h/m&sup2; año",599239,centralizada,es,Sevilla,Bami - Reina Mercedes - Pineda,c,2024-10-28 13:28:31,530000,Alta,C. Jandula,4 dorm.,,2 baños,2019,141.00,Andalucía,venta,Señorial
,596746,,es,Sevilla,San Jeronimo,,2024-10-04 11:06:01,69900,3,C. Calamar,2 dorm.,,1 baño,1964,48.00,Andalucía,venta,Popular
"172,3 kW h/m&sup2; año",556854,,es,Sevilla,Cerro Del Aguila,e,2024-10-23 10:43:55,144990,3 (planta media),C. José María de Pereda,3 dorm.,Sí,1 baño,1975,75.00,Andalucía,venta,Media
,599686,Independiente,es,Sevilla,Palmete - La Negrilla,,2024-10-30 12:53:34,115000,,Calle Solidaridad,,,1 baño,1986,106.00,Andalucía,venta,Media
"345,82 kWh/m&sup2; año",597607,,es,Sevilla,Macarena - La Salle - Begoña,g,2024-10-30 11:25:24,112000,3,C. Orquídea,2 dorm.,Sí,1 baño,1962,59.00,Andalucía,venta,Popular
,575802,,es,Sevilla,Palmete - La Negrilla,,2024-10-30 10:50:43,131000,Media,Calle Moriles,,,2 baños,2004,132.00,Andalucía,venta,Popular
"126,2 kW h/m&sup2; año",363215,,es,Sevilla,Nervion - San Pablo,e,2024-10-30 09:41:06,96500,,C/Exaltación de Baco,2 dorm.,,1 baño,1964,65.00,Andalucía,venta,Media
"130,3 kWh/m&sup2; año",598760,,es,Sevilla,Juncal - Ciudad Jardin - Tiro De Linea,e,2024-10-22 09:57:19,149900,4,C. Tambre,,,,1964,59.00,Andalucía,venta,Media
126 kWh/m&sup2; año,595390,centralizada,es,Zaragoza,Bombarda - Monsalud,d,2024-10-14 11:44:17,199000,,Calle Celanova,4 dorm.,Sí,2 baños,1986,108.00,Aragón,venta,Popular
,598231,Independiente (Gas),es,Zaragoza,Oliver Y Valdefierro,,2024-10-17 18:33:58,125000,,Calle Vega,2 dorm.,,1 baño,1997,61.00,Aragón,venta,Media
260 kWh/m&sup2; año,596901,Independiente,es,Zaragoza,Delicias,e,2024-10-14 11:29:04,169000,,Julian Sanz Ibañez,3 dorm.,Sí,2 baños,1980,88.00,Aragón,venta,Popular
,594805,centralizada (Gas),es,Zaragoza,Centro,,2024-10-19 11:46:46,246000,,C. de José Luis Albareda,3 dorm.,,1 baño,1971,98.00,Aragón,venta,Señorial
253 kW h/m&sup2; año,599495,,es,Zaragoza,Picarral,e,2024-10-29 07:52:46,130000,,Calle Monte  Perdido 4,,,1 baño,1974,67.00,Aragón,venta,Popular
"269,18 kW h/m&sup2; año",189952,Independiente (Radiadores),es,Zaragoza,Picarral,f,2021-09-13 19:25:18,195000,,Avenida San Juan de la Peña 131,4 dorm.,,,1973,80.00,Aragón,venta,Popular
"162,6 kWh/m&sup2; año",579782,centralizada,es,Zaragoza,San Pablo - El Gancho,e,2024-07-01 09:44:49,160000,4,Calle Benjamín Jarnés,2 dorm.,,2 baños,1970,112.00,Aragón,venta,Señorial
"293,10 kW h/m&sup2; año",597919,Independiente (Gas),es,Zaragoza,Actur,e,2024-10-28 14:00:47,260000,7 (planta alta),C. de Rosa Chacel,4 dorm.,,2 baños,1993,114.00,Aragón,venta,Media
446 kWh/m&sup2; año,585861,,es,Zaragoza,Las Fuentes,g,2024-06-25 19:27:39,77500,4,Calle Utrillas,2 dorm.,,1 baño,1936,55.00,Aragón,venta,Popular
163 kWh/m&sup2; año,599203,Independiente (Gas),es,Zaragoza,Las Fuentes,e,2024-10-25 18:30:39,220000,5 (planta alta),Calle Cubel,2 dorm.,Sí,1 baño,1993,76.00,Aragón,venta,Popular
309 kWh/m&sup2; año,598088,,es,Zaragoza,Las Fuentes,f,2024-10-16 11:50:12,98000,2 (planta media),Calle Octavio García Burriel,3 dorm.,Sí,1 baño,1961,60.00,Aragón,venta,Popular
154 kWh/m&sup2; año,593125,,es,Zaragoza,Las Fuentes,e,2024-09-03 13:12:30,145000,3 (planta media),Plaza san victorian,3 dorm.,,1 baño,1975,100.00,Aragón,venta,Popular
"177,1 kWh/m&sup2; año",597714,Independiente (Gas),es,Zaragoza,Almozara,e,2024-10-16 12:00:03,147000,Baja,Calle Mariano Castillo,3 dorm.,,1 baño,1965,70.00,Aragón,venta,Señorial
,599211,,es,Zaragoza,Paseo Teruel,,2024-10-26 11:14:36,233500,,Calle Hernán Cortés,3 dorm.,,,1938,85.00,Aragón,venta,Media
,596341,Independiente (Gas),es,Zaragoza,Las Fuentes,,2024-10-03 11:08:14,230000,1,Calle Dr. Iranzo,4 dorm.,Sí,2 baños,1991,107.00,Aragón,venta,Popular
