Referencia,zona,contrato,ascensor,calle,consumo_energia,dormitorios,precio_venta,ciudad,baños,planta/piso,tipo_inmueble,calefaccion,año_construcción,Comunidad Autonoma,Clase_energia,Pais,Fecha_publicación,Superficie
597690,Chana - Cerillo - Maracena,venta,,Carretera de Málaga,00 kW h/m&sup2; año,,172900,Granada,2 baños,,Señorial,,1990,Andalucía,c,es,2024-10-31 19:49:04,84.00
598343,Cartuja - Traumatología,venta,,C. Víctor Hugo,"141,6 kWh/m&sup2; año",2 dorm.,109900,Granada,1 baño,,Popular,,1970,Andalucía,e,es,2024-10-31 11:40:26,89.00
597989,Cartuja - Traumatología,venta,,Pje. de Teba,"268,8 kWh/m&sup2; año",3 dorm.,35000,Granada,1 baño,,Media,,1976,Andalucía,g,es,2024-10-31 11:40:29,75.00
597600,Cartuja - Joaquina Eguaras,venta,,C. Joaquín Corral Almagro,"172,2 kW h/m&sup2; año",2 dorm.,54900,Granada,1 baño,Baja,Media,,1970,Andalucía,e,es,2024-10-15 20:47:28,70.00
596918,Chana - Villarejo - Barriada De La Cruz,venta,,C. Azor,,,130000,Granada,1 baño,,Popular,,1960,Andalucía,,es,2024-10-31 17:16:54,78.00
598045,Chana - Villarejo - Barriada De La Cruz,venta,,Av. de la Constitución,,,230000,Granada,2 baños,,Popular,,1968,Andalucía,,es,2024-10-31 16:58:32,113.00
596247,Chana - Villarejo - Barriada De La Cruz,venta,,C. Antonio Machado,,2 dorm.,90000,Granada,,,Popular,,1960,Andalucía,,es,2024-10-31 16:45:28,60.00
596068,Albayzín,venta,Sí,C. Cibeles,"97,63 kW h/m&sup2; año",4 dorm.,259900,Granada,2 baños,,Popular,,1967,Andalucía,d,es,2024-10-29 17:41:03,116.00
597583,Fuentepiña - Poligono - Rosales - Pilar Balbueno,venta,,Calle Sanlúcar de Guadiana,"142,59 kWh/m&sup2; año",3 dorm.,95000,Huelva,1 baño,,Popular,,1970,Andalucía,e,es,2024-10-22 19:48:20,76.00
597654,Avenida Andalucia - Hispanidad,venta,,C. Fenicios,,2 dorm.,175000,Huelva,,3,Popular,,2008,Andalucía,,es,2024-10-22 19:03:40,83.00
595596,Huerto Paco,venta,,C. Villa Mundaka,,3 dorm.,149900,Huelva,1 baño,,Popular,,1975,Andalucía,,es,2024-09-24 10:27:41,90.00
598724,Orden - Santa Marta,venta,,C. Niágara,,4 dorm.,94900,Huelva,2 baños,,Popular,,1980,Andalucía,,es,2024-10-22 12:59:17,90.00
597009,Avenida Andalucia - Hispanidad,venta,,C. Hélice,326 kW h/m&sup2; año,3 dorm.,99900,Huelva,1 baño,,Popular,,1968,Andalucía,g,es,2024-10-16 18:56:12,70.00
599542,Matadero,venta,,C. Arizona,,2 dorm.,52000,Huelva,1 baño,3,Media,,1954,Andalucía,,es,2024-10-29 12:48:51,49.00
595025,Orden - Santa Marta,venta,,C. Río de la Plata,,3 dorm.,72900,Huelva,1 baño,,Popular,,1975,Andalucía,,es,2024-09-18 20:14:24,69.00
596365,Orden - Santa Marta,venta,,C. Condado,,3 dorm.,90000,Huelva,1 baño,,Popular,,1975,Andalucía,,es,2024-10-08 20:15:39,90.00
598544,Fuentepiña - Poligono - Rosales - Pilar Balbueno,venta,Sí,C. Río Guadalete,,3 dorm.,104000,Huelva,2 baños,3,Popular,,2008,Andalucía,,es,2024-10-19 10:43:25,146.00
597782,Fuentepiña - Poligono - Rosales - Pilar Balbueno,venta,,Pl. Eugenio Hermoso,"108,5 kW h/m&sup2; año",4 dorm.,129000,Huelva,2 baños,,Popular,,1973,Andalucía,e,es,2024-10-18 11:53:13,121.00
